,year,month,day,hours,counts,hours2,Wday,Wnight,Tday,Tnight,WDFday,WDFnight,avgT,week,isFestival,dayFestival,isWork,firstWork,lastWork
0,2014,8,1,6,1639,36,1,3,7,5,1,1,6.0,5,0,0,1,5,1
1,2014,8,1,7,4108,49,1,3,7,5,1,1,6.0,5,0,0,1,5,1
2,2014,8,1,8,5189,64,1,3,7,5,1,1,6.0,5,0,0,1,5,1
3,2014,8,1,9,3799,81,1,3,7,5,1,1,6.0,5,0,0,1,5,1
4,2014,8,1,10,2872,100,1,3,7,5,1,1,6.0,5,0,0,1,5,1
5,2014,8,1,11,2216,121,1,3,7,5,1,1,6.0,5,0,0,1,5,1
6,2014,8,1,12,1722,144,1,3,7,5,1,1,6.0,5,0,0,1,5,1
7,2014,8,1,13,1899,169,1,3,7,5,1,1,6.0,5,0,0,1,5,1
8,2014,8,1,14,2070,196,1,3,7,5,1,1,6.0,5,0,0,1,5,1
9,2014,8,1,15,2272,225,1,3,7,5,1,1,6.0,5,0,0,1,5,1
10,2014,8,1,16,2434,256,1,3,7,5,1,1,6.0,5,0,0,1,5,1
11,2014,8,1,17,3842,289,1,3,7,5,1,1,6.0,5,0,0,1,5,1
12,2014,8,1,18,3954,324,1,3,7,5,1,1,6.0,5,0,0,1,5,1
13,2014,8,1,19,2430,361,1,3,7,5,1,1,6.0,5,0,0,1,5,1
14,2014,8,1,20,2156,400,1,3,7,5,1,1,6.0,5,0,0,1,5,1
15,2014,8,1,21,1956,441,1,3,7,5,1,1,6.0,5,0,0,1,5,1
16,2014,8,2,6,1351,36,3,3,7,5,1,1,6.0,6,0,0,0,0,0
17,2014,8,2,7,2440,49,3,3,7,5,1,1,6.0,6,0,0,0,0,0
18,2014,8,2,8,3662,64,3,3,7,5,1,1,6.0,6,0,0,0,0,0
19,2014,8,2,9,3455,81,3,3,7,5,1,1,6.0,6,0,0,0,0,0
20,2014,8,2,10,2997,100,3,3,7,5,1,1,6.0,6,0,0,0,0,0
21,2014,8,2,11,2584,121,3,3,7,5,1,1,6.0,6,0,0,0,0,0
22,2014,8,2,12,2219,144,3,3,7,5,1,1,6.0,6,0,0,0,0,0
23,2014,8,2,13,2245,169,3,3,7,5,1,1,6.0,6,0,0,0,0,0
24,2014,8,2,14,2404,196,3,3,7,5,1,1,6.0,6,0,0,0,0,0
25,2014,8,2,15,2335,225,3,3,7,5,1,1,6.0,6,0,0,0,0,0
26,2014,8,2,16,2317,256,3,3,7,5,1,1,6.0,6,0,0,0,0,0
