,line11
0,693.0
1,2031.0
2,3389.0
3,3689.0
4,3079.0
5,3059.0
6,2703.0
7,3050.0
8,3210.0
9,2829.0
10,3038.0
11,3003.0
12,2562.0
13,1946.0
14,1759.0
15,1472.0
16,692.0
17,1957.0
18,3044.0
19,3240.0
20,3252.0
21,2898.0
22,2416.0
23,2758.0
24,2998.0
25,2820.0
26,3121.0
27,2940.0
28,2576.0
29,1920.0
30,1843.0
31,1433.0
32,690.0
33,1970.0
34,3091.0
35,3261.0
36,3320.0
37,2955.0
38,2604.0
39,2944.0
40,3183.0
41,2744.0
42,2953.0
43,2991.0
44,2637.0
45,1861.0
46,1810.0
47,1416.0
48,1644.0
49,4946.0
50,5518.0
51,3959.0
52,3030.0
53,2300.0
54,1752.0
55,2133.0
56,2333.0
57,2569.0
58,3252.0
59,4220.0
60,4062.0
61,2073.0
62,1400.0
63,1371.0
64,1644.0
65,4946.0
66,5518.0
67,3959.0
68,3030.0
69,2300.0
70,1752.0
71,2133.0
72,2333.0
73,2569.0
74,3252.0
75,4220.0
76,4062.0
77,2073.0
78,1400.0
79,1371.0
80,1719.0
81,4728.0
82,5429.0
83,3630.0
84,2743.0
85,2203.0
86,1759.0
87,1996.0
88,2166.0
89,2414.0
90,2948.0
91,3940.0
92,4115.0
93,2006.0
94,1482.0
95,1429.0
96,1477.0
97,4638.0
98,5706.0
99,4104.0
100,3112.0
101,2439.0
102,1790.0
103,2162.0
104,2422.0
105,2649.0
106,3137.0
107,4157.0
108,4098.0
109,2173.0
110,1484.0
111,1366.0
